Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1605319463,2020-11-14 02:04:23,B1428,CCA1803,99.06,298.172,354,40.08762,116.59483999999999
1605319467,2020-11-14 02:04:27,B1428,CCA1803,152.4,312.988,352,40.08762,116.59483999999999
1605319471,2020-11-14 02:04:31,B1428,CCA1803,213.36,312.988,352,40.08762,116.59483999999999
1605319476,2020-11-14 02:04:36,B1428,CCA1803,274.32,312.988,352,40.08762,116.59483999999999
1605319493,2020-11-14 02:04:53,B1428,CCA1803,480.06,324.1,352,40.11104,116.58997
1605319497,2020-11-14 02:04:57,B1428,CCA1803,525.78,324.1,352,40.11104,116.58997
1605319502,2020-11-14 02:05:02,B1428,CCA1803,594.36,324.1,352,40.11104,116.58997
1605319508,2020-11-14 02:05:08,B1428,CCA1803,655.32,325.952,353,40.11104,116.58997
1605319512,2020-11-14 02:05:12,B1428,CCA1803,708.66,325.952,353,40.11104,116.58997
1605319520,2020-11-14 02:05:20,B1428,CCA1803,800.1,325.952,353,40.11104,116.58997
1605319523,2020-11-14 02:05:23,B1428,CCA1803,830.58,325.952,353,40.11104,116.58997
1605319534,2020-11-14 02:05:34,B1428,CCA1803,929.64,337.064,353,40.13905,116.58502
1605319539,2020-11-14 02:05:39,B1428,CCA1803,944.88,337.064,353,40.13905,116.58502
1605319546,2020-11-14 02:05:46,B1428,CCA1803,975.36,385.216,352,40.13905,116.58502
1605319554,2020-11-14 02:05:54,B1428,CCA1803,1005.84,414.848,352,40.13905,116.58502
1605319560,2020-11-14 02:06:00,B1428,CCA1803,1028.7,414.848,352,40.13905,116.58502
1605319565,2020-11-14 02:06:05,B1428,CCA1803,1059.18,444.48,352,40.13905,116.58502
1605319574,2020-11-14 02:06:14,B1428,CCA1803,1143.0,444.48,352,40.1831,116.5768
1605319580,2020-11-14 02:06:20,B1428,CCA1803,1188.72,466.704,353,40.1831,116.5768
1605319586,2020-11-14 02:06:26,B1428,CCA1803,1219.2,466.704,353,40.1831,116.5768
1605319591,2020-11-14 02:06:31,B1428,CCA1803,1264.92,503.744,352,40.20593,116.57263
1605319597,2020-11-14 02:06:37,B1428,CCA1803,1348.74,503.744,352,40.20593,116.57263
1605319601,2020-11-14 02:06:41,B1428,CCA1803,1356.36,516.7080000000001,352,40.20593,116.57263
1605319605,2020-11-14 02:06:45,B1428,CCA1803,1356.36,518.56,353,40.20593,116.57263
1605319612,2020-11-14 02:06:52,B1428,CCA1803,1592.58,518.56,353,40.20593,116.57263
1605319619,2020-11-14 02:06:59,B1428,CCA1803,1676.4,516.7080000000001,353,40.240629999999996,116.56641
1605319637,2020-11-14 02:07:17,B1428,CCA1803,1965.96,507.44800000000004,336,40.25023,116.56443999999999
1605319649,2020-11-14 02:07:29,B1428,CCA1803,2110.74,505.596,331,40.2691,116.55469
1605319652,2020-11-14 02:07:32,B1428,CCA1803,2156.46,505.596,331,40.2691,116.55469
1605319664,2020-11-14 02:07:44,B1428,CCA1803,2232.66,513.004,292,40.2859,116.52362
1605319668,2020-11-14 02:07:48,B1428,CCA1803,2247.9,513.004,292,40.2859,116.52362
1605319675,2020-11-14 02:07:55,B1428,CCA1803,2263.14,513.004,292,40.2859,116.52362
1605319679,2020-11-14 02:07:59,B1428,CCA1803,2278.38,513.004,292,40.2859,116.52362
1605319692,2020-11-14 02:08:12,B1428,CCA1803,2377.44,525.9680000000001,264,40.287890000000004,116.48353999999999
1605319703,2020-11-14 02:08:23,B1428,CCA1803,2476.5,537.08,264,40.287890000000004,116.48353999999999
1605319709,2020-11-14 02:08:29,B1428,CCA1803,2545.08,537.08,264,40.287890000000004,116.48353999999999
1605319717,2020-11-14 02:08:37,B1428,CCA1803,2636.52,561.156,263,40.287890000000004,116.48353999999999
1605319723,2020-11-14 02:08:43,B1428,CCA1803,2796.54,566.712,263,40.28268,116.42437
1605319729,2020-11-14 02:08:49,B1428,CCA1803,2887.98,566.712,263,40.28268,116.42437
1605319743,2020-11-14 02:09:03,B1428,CCA1803,3025.14,609.308,263,40.27877,116.38498
1605319764,2020-11-14 02:09:24,B1428,CCA1803,3383.28,622.2719999999999,263,40.27574,116.35608
1605319769,2020-11-14 02:09:29,B1428,CCA1803,3467.1,622.2719999999999,263,40.27574,116.35608
1605319780,2020-11-14 02:09:40,B1428,CCA1803,3543.3,622.2719999999999,263,40.27127,116.31093999999999
1605319784,2020-11-14 02:09:44,B1428,CCA1803,3543.3,655.6080000000001,263,40.27127,116.31093999999999
1605319796,2020-11-14 02:09:56,B1428,CCA1803,3893.82,655.6080000000001,263,40.26964,116.29397
1605319798,2020-11-14 02:09:58,B1428,CCA1803,3924.3,655.6080000000001,263,40.26964,116.29397
1605319806,2020-11-14 02:10:06,B1428,CCA1803,4137.66,663.0160000000001,263,40.26964,116.29397
1605319809,2020-11-14 02:10:09,B1428,CCA1803,4137.66,663.0160000000001,263,40.26964,116.29397
1605319815,2020-11-14 02:10:15,B1428,CCA1803,4198.62,664.868,262,40.26964,116.29397
1605319818,2020-11-14 02:10:18,B1428,CCA1803,4335.78,664.868,262,40.26964,116.29397
1605319824,2020-11-14 02:10:24,B1428,CCA1803,4373.88,664.868,262,40.26169,116.21203999999999
1605319831,2020-11-14 02:10:31,B1428,CCA1803,4693.92,664.868,262,40.26169,116.21203999999999
1605319836,2020-11-14 02:10:36,B1428,CCA1803,4739.64,664.868,262,40.26169,116.21203999999999
1605319840,2020-11-14 02:10:40,B1428,CCA1803,4777.74,664.868,262,40.26169,116.21203999999999
